,Unnamed: 0,paraphrase-multilingual-mpnet-base-v2-a,paraphrase-multilingual-mpnet-base-v2-b,paraphrase-multilingual-MiniLM-L12-v2-a,paraphrase-multilingual-MiniLM-L12-v2-b,distiluse-base-multilingual-cased-v2-a,distiluse-base-multilingual-cased-v2-b,stsb-xlm-r-multilingual-a,stsb-xlm-r-multilingual-b,ko-sroberta-multitask-a,ko-sroberta-multitask-b,KR-SBERT-V40K-klueNLI-augSTS-a,KR-SBERT-V40K-klueNLI-augSTS-b,moco-sentencedistilbertV2.1-a,moco-sentencedistilbertV2.1-b,kpf-sbert-128d-v1-a,kpf-sbert-128d-v1-b,M-BERT-Distil-40-a,M-BERT-Distil-40-b,canine-c-a,canine-c-b,roberta-ko-small-tsdae-a,roberta-ko-small-tsdae-b,KoSimCSE-roberta-multitask-a,KoSimCSE-roberta-multitask-b,text-embedding-ada-002-a,text-embedding-ada-002-b
0,@1,40.0,36.19,25.714,24.762,24.762,22.857,20.952,11.429,49.524,53.333,37.143,32.381,7.619,20.952,21.905,27.619,5.714,4.762,0.952,1.905,16.19,10.476,37.143,40.952,41.905,36.19
1,@3,58.095,59.048,41.905,35.238,39.048,40.952,33.333,19.048,69.524,71.429,54.286,56.19,11.429,25.714,37.143,40.0,10.476,12.381,4.762,5.714,23.81,20.952,58.095,59.048,47.619,45.714
2,@5,63.81,61.905,51.429,42.857,47.619,50.476,41.905,19.048,77.143,78.095,63.81,63.81,11.429,27.619,44.762,45.714,13.333,18.095,5.714,7.619,27.619,23.81,63.81,65.714,57.143,47.619
3,@10,73.333,69.524,62.857,51.429,59.048,57.143,53.333,20.0,81.905,84.762,72.381,72.381,20.0,30.476,50.476,49.524,19.048,24.762,6.667,10.476,37.143,35.238,72.381,77.143,60.0,50.476
